	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type	gene	databases	has_db
chr1:4212835-4298842:+	0.327543046480035	30	2.22132899806014	12.6050666175304	1.98005231211756e-36	1.16577349126978e-34	EI-circRNA	Rp1	circAtlas:mmu-intergenic_007063,circAtlas:mmu-intergenic_002866	TRUE
chr1:4212835-4298842:-	0.327543046480035	30	2.22132899806014	12.6050666175304	1.98005231211756e-36	1.16577349126978e-34	EI-circRNA	Rp1	circAtlas:mmu-intergenic_007063,circAtlas:mmu-intergenic_002866	TRUE
chr1:9949250-9952116:+	0.52529167307011	30	2.22359421614575	12.5922255943504	2.33009619872439e-36	1.16577349126978e-34	EI-circRNA	Sgk3	circAtlas:mmu-Sgk3_0017,circBase_lifted:hsa_circ_0084652	TRUE
chr1:9949251-9952116:-	0.52529167307011	30	2.22359421614575	12.5922255943504	2.33009619872439e-36	1.16577349126978e-34	EI-circRNA	Sgk3	circAtlas:mmu-Sgk3_0017,circBase_lifted:hsa_circ_0084652	TRUE
chr1:10258981-10270129:+	0.787937509605166	30	2.22359371772201	12.5922284169272	2.33001286679693e-36	1.16577349126978e-34	EI-circRNA	Arfgef1	.	FALSE
chr1:10258981-10270129:-	0.787937509605166	30	2.22359371772201	12.5922284169272	2.33001286679693e-36	1.16577349126978e-34	EI-circRNA	Arfgef1	.	FALSE
chr1:11131549-11183067:+	0.268734945033989	-30	2.22121023586914	-12.6057405768454	1.96319828668782e-36	1.16577349126978e-34	EI-circRNA	Prex2	circAtlas:mmu-Prex2_0017,circAtlas:mmu-Prex2_0082,circAtlas:mmu-Prex2_0098	TRUE
chr1:11131550-11183067:-	0.268734945033989	-30	2.22121023586914	-12.6057405768454	1.96319828668782e-36	1.16577349126978e-34	EI-circRNA	Prex2	circAtlas:mmu-Prex2_0017,circAtlas:mmu-Prex2_0082,circAtlas:mmu-Prex2_0098	TRUE
chr1:13639694-13642298:+	0.787937509605166	30	2.22359371772201	12.5922284169272	2.33001286679693e-36	1.16577349126978e-34	EI-circRNA	Tram1	circAtlas:mmu-Tram1_0002	TRUE
chr1:13639695-13642298:-	0.787937509605166	30	2.22359371772201	12.5922284169272	2.33001286679693e-36	1.16577349126978e-34	EI-circRNA	Tram1	circAtlas:mmu-Tram1_0002	TRUE
chr1:24083194-24096586:+	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Fam135a	circAtlas:mmu-Fam135a_0014,circAtlas:mmu-Fam135a_0006,circBase_lifted:hsa_circ_0076961	TRUE
chr1:24083194-24096586:-	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Fam135a	circAtlas:mmu-Fam135a_0014,circAtlas:mmu-Fam135a_0006,circBase_lifted:hsa_circ_0076961	TRUE
chr1:34045271-34156605:+	0.449356981408391	-30	2.22220831178787	-12.6000788726565	2.10933476479152e-36	1.16577349126978e-34	EI-circRNA	Dst,Mir6896	circAtlas:mmu-Dst_0115	TRUE
chr1:34045272-34156605:-	0.449356981408391	-30	2.22220831178787	-12.6000788726565	2.10933476479152e-36	1.16577349126978e-34	EI-circRNA	Dst,Mir6896	circAtlas:mmu-Dst_0115	TRUE
chr1:34236281-34286896:+	0.104647175397771	30	2.22342362004403	12.5931917550851	2.30174421006887e-36	1.16577349126978e-34	EI-circRNA	Dst	circAtlas:mmu-Dst_0013,circAtlas:mmu-Dst_0032,circAtlas:mmu-Dst_0035,circAtlas:mmu-Dst_0187	TRUE
chr1:34236282-34286896:-	0.104647175397771	30	2.22342362004403	12.5931917550851	2.30174421006887e-36	1.16577349126978e-34	EI-circRNA	Dst	circAtlas:mmu-Dst_0013,circAtlas:mmu-Dst_0032,circAtlas:mmu-Dst_0035,circAtlas:mmu-Dst_0187	TRUE
chr1:36854536-36862234:+	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Tmem131	circAtlas:mmu-Tmem131_0016	TRUE
chr1:36854536-36862234:-	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Tmem131	circAtlas:mmu-Tmem131_0016	TRUE
chr1:37403190-37438001:+	0.315175003842066	30	2.22359512975808	12.5922204205612	2.33024895401086e-36	1.16577349126978e-34	EI-circRNA	Inpp4a	circAtlas:mmu-Inpp4a_0010,circAtlas:mmu-Inpp4a_0018,circAtlas:mmu-Inpp4a_0004	TRUE
chr1:37403191-37438001:-	0.315175003842066	30	2.22359512975808	12.5922204205612	2.33024895401086e-36	1.16577349126978e-34	EI-circRNA	Inpp4a	circAtlas:mmu-Inpp4a_0010,circAtlas:mmu-Inpp4a_0018,circAtlas:mmu-Inpp4a_0004	TRUE
chr1:38218399-38232710:+	0.139529567197028	30	2.22341880709425	12.5932190150864	2.30094925822655e-36	1.16577349126978e-34	EI-circRNA	Aff3	circAtlas:mmu-Aff3_0010	TRUE
chr1:38218399-38232710:-	0.139529567197028	30	2.22341880709425	12.5932190150864	2.30094925822655e-36	1.16577349126978e-34	EI-circRNA	Aff3	circAtlas:mmu-Aff3_0010	TRUE
chr1:40023042-40029459:+	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Map4k4	circAtlas:mmu-Map4k4_0046	TRUE
chr1:40023042-40029459:-	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Map4k4	circAtlas:mmu-Map4k4_0046	TRUE
chr1:40053329-40062679:+	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Map4k4	circAtlas:mmu-Map4k4_0053,circAtlas:mmu-Map4k4_0007	TRUE
chr1:40053330-40062679:-	0.262645836535055	30	2.22359555751293	12.5922179981857	2.33032047767439e-36	1.16577349126978e-34	EI-circRNA	Map4k4	circAtlas:mmu-Map4k4_0053,circAtlas:mmu-Map4k4_0007	TRUE
chr1:45373920-45374941:+	1.05058334614022	30	2.2235934495852	12.5922299353883	2.32996803796443e-36	1.16577349126978e-34	EI-circRNA	Col3a1	circAtlas:mmu-Col3a1_0052	TRUE
chr1:45373920-45374941:-	1.05058334614022	30	2.2235934495852	12.5922299353883	2.32996803796443e-36	1.16577349126978e-34	EI-circRNA	Col3a1	circAtlas:mmu-Col3a1_0052	TRUE
