circ_id	gene_id	aging_24m_ESR1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_2	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_12m_CYP19A1_no_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_3	aging_18m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_CYP19A1_no_2	aging_24m_CYP19A1_12m_1	aging_24m_CYP19A1_6m_2	aging_12m_CYP19A1_1w_1	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_letrozole_2m_2	aging_24m_ESR1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_20m_CYP19A1_no_3	aging_12m_CYP19A1_1w_3	aging_30m_ESR1_18m_3	aging_24m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_12m_ESR1_no_2	aging_30m_CYP19A1_18m_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_6m_2	aging_18m_ESR1_no_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_1	aging_18m_CYP19A1_1w_3	aging_18m_ESR1_no_1	aging_18m_ESR1_1w_1	antiHormonal_18m_CYP19A1_no_1	aging_24m_ESR1_12m_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_ESR1_no_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_12m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_1w_3	antiHormonal_20m_ESR1_no_1	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_24m_ESR1_6m_1	antiHormonal_18m_ESR1_no_3	aging_18m_ESR1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_2	aging_24m_CYP19A1_12m_3	aging_18m_CYP19A1_no_1	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_30m_ESR1_18m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_12m_ESR1_1w_3	aging_24m_ESR1_12m_2	aging_12m_CYP19A1_no_1	aging_12m_ESR1_no_1	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_1	aging_12m_CYP19A1_1w_2	aging_12m_ESR1_1w_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_3	aging_18m_CYP19A1_1w_2
chr1:3451730-3451944:+																																																																	1								
chr1:3638591-3638734:+															1																																																										
chr1:3661898-3662173:+																																																			1				1																		
chr1:3729265-3729444:+																				2																																																					
chr1:4208595-4208708:+																																																																				1					
chr1:4212834-4298842:-																			1																																								1								1						
chr1:4212834-4337843:-		1																																																																							2
chr1:4234077-4301367:-														1																			1				1																							2													
chr1:4267756-4298842:-														1										1																	1						1									1				1													1
chr1:4267756-4301367:-							3						1																																																												2
chr1:4313355-4315329:-											1	1							1															1																																							
chr1:4313355-4337843:-									2					1					3		1								2						1										1									1						1											2		1
chr1:4354988-4381656:-																																					1																																				
chr1:4363148-4381656:-																																																											1														
chr1:4896349-4896462:-																																													1																												
chr1:4969327-4969416:-											1																																																														
chr1:4994069-4994212:-																							1																																																		
chr1:5159231-5168356:+						1																	1																						1																												
chr1:5159231-5171346:+				1								1			1																	1				3		1																						1	2			1		1							
chr1:5159231-5187710:+																																																												2													
chr1:5159231-5194692:+										1																																	1																														
chr1:5159231-5206160:+				1																																																																					
chr1:5159231-5220284:+																																																											2														
chr1:5163585-5203485:+			1								2																		2													1																															
chr1:5165837-5187710:+																																													1																	1		1									
chr1:5165837-5194692:+									2																															3	1												1			1																	
chr1:5165837-5206160:+							2																														2																													1							
chr1:5165837-5214074:+																																																	1																								
chr1:5165837-5220284:+		1							2																																																																
chr1:5187612-5194692:+																						1								1																																							1				
chr1:5194499-5220284:+													2											1																																																	
chr1:5203306-5214074:+																																																															1										
chr1:6333247-6335845:+																																																																		1							
chr1:6339013-6339403:-																																								1																																	
chr1:6807803-6823260:+											1																																																														
chr1:7190417-7190839:+		1						1		1		2			1				1				1	1	2					1				2				1		1	2			3		1			1	1							1	4						1	2		1				1		2
chr1:7190417-7217963:+												1																	1																																												
chr1:7218590-7219329:-																																				2																																					
chr1:7238466-7238571:-						1																																																																			
chr1:7240028-7240125:-																														1																																											
chr1:8653428-8677376:-																																																											1														
chr1:9619696-9619865:-																																																																	1								
chr1:9623542-9627330:+																																																														1											
chr1:9623542-9630432:+																																																																			1						
chr1:9646504-9646782:-								1																																																																	
chr1:9646504-9646874:-																																																																									1
chr1:9748496-9753393:-																																															1																										
chr1:9817414-9817637:+																																																				1																					
chr1:9935355-9942558:+																					1																								1														1														
chr1:9942482-9949300:+																																																								1																	
chr1:9949250-9952116:+																																																													2												
chr1:9950556-9959250:+																									1										2																																						
chr1:10097327-10103548:-																																										1																															
chr1:10115300-10137045:+																											1																																														
chr1:10134557-10147467:+																																												1														2															
chr1:10134557-10153783:+																																								1																																	
chr1:10145084-10152571:+					1							1														1				1																																											
chr1:10145084-10156177:+																																																									1																
chr1:10152477-10166238:+						1												1																																														1									
