circ_id	gene_id	aging_24m_ESR1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_2	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_12m_CYP19A1_no_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_3	aging_18m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_CYP19A1_no_2	aging_24m_CYP19A1_12m_1	aging_24m_CYP19A1_6m_2	aging_12m_CYP19A1_1w_1	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_letrozole_2m_2	aging_24m_ESR1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_20m_CYP19A1_no_3	aging_12m_CYP19A1_1w_3	aging_30m_ESR1_18m_3	aging_24m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_12m_ESR1_no_2	aging_30m_CYP19A1_18m_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_6m_2	aging_18m_ESR1_no_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_1	aging_18m_CYP19A1_1w_3	aging_18m_ESR1_no_1	aging_18m_ESR1_1w_1	antiHormonal_18m_CYP19A1_no_1	aging_24m_ESR1_12m_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_ESR1_no_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_12m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_1w_3	antiHormonal_20m_ESR1_no_1	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_24m_ESR1_6m_1	antiHormonal_18m_ESR1_no_3	aging_18m_ESR1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_2	aging_24m_CYP19A1_12m_3	aging_18m_CYP19A1_no_1	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_30m_ESR1_18m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_12m_ESR1_1w_3	aging_24m_ESR1_12m_2	aging_12m_CYP19A1_no_1	aging_12m_ESR1_no_1	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_1	aging_12m_CYP19A1_1w_2	aging_12m_ESR1_1w_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_3	aging_18m_CYP19A1_1w_2
chr1:4212834-4298842:-																			1																																								1														
chr1:4212834-4337843:-																																																																									2
chr1:4234077-4301367:-																																	1				1					1																		2													
chr1:4267756-4298842:-																																									1						1									1				1													1
chr1:4267756-4301367:-							3						1																																																												2
chr1:4313355-4315329:-							1				1	1																						1																																							
chr1:4313355-4337843:-									1				2	1					1		1														1										1									1		1				1											2		1
chr1:4354988-4381656:-																																					1																																				
chr1:4363148-4381656:-																																																											1														
chr1:4994069-4994212:-																							1																																																		
chr1:5159231-5168356:+						1																	1																						1													1															
chr1:5159231-5171346:+				1								1																				1				3																								1	2					1							
chr1:5159231-5187710:+																																																												2													
chr1:5159231-5194692:+										1																																																															
chr1:5159231-5206160:+				1																																																																					
chr1:5159231-5220284:+																																																											2														
chr1:5163585-5203485:+			1								2																															1																															
chr1:5165837-5187710:+																																													1																	1											
chr1:5165837-5194692:+									2																															3	1												1																				
chr1:5165837-5206160:+							2																														2																													1							
chr1:5165837-5214074:+																																																	1																								
chr1:5165837-5220284:+									1																																																																
chr1:5187612-5194692:+																						1								1																																							1				
chr1:5194499-5220284:+													2																																																												
chr1:5203306-5214074:+																																																															1										
chr1:6314328-6320391:+					1																																																																				
chr1:6315648-6333488:+																							1																																																		
chr1:6333247-6335845:+																																																																		1							
chr1:6807803-6823260:+											1																																																														
chr1:7190417-7190839:+			1					1				2											1	1										1							1			3		1				1								2							2								2
chr1:7190417-7217963:+												1																												1			1														1																
chr1:8653428-8677376:-																																																											1														
chr1:9623542-9627330:+																																																														1											
chr1:9623542-9630432:+																																					1																																				
chr1:9748496-9753393:-																																															1																										
chr1:9935355-9942558:+																					1																								1														1														
chr1:9942482-9949300:+																																																								1							2										
chr1:9949250-9952116:+																																																													2												
chr1:9950556-9959250:+																																			2																																						
chr1:10097327-10103548:-																																										1																															
chr1:10115300-10137045:+																											1																																														
chr1:10134557-10147467:+																																												1														2															
chr1:10134557-10153783:+																																								1																																	
chr1:10145084-10152571:+					1							1														1				1																														1													
chr1:10145084-10156177:+																																																									1																
chr1:10152477-10166238:+						1												1																																																							
chr1:10222025-10234012:-																														1											1																																
chr1:10253887-10275134:-						1																																																																			
chr1:10258981-10259903:-					1								1														1															1																															
chr1:10258981-10270129:-																																																													3												
chr1:10269953-10279926:-																																																															1										
chr1:10269953-10283448:-																																																																				1					
chr1:10279649-10286784:-						1																	1												2																																						
chr1:11131549-11138339:+			1														1																			1	2												1																								
chr1:11131549-11183067:+																																																										1					1										
chr1:11131549-11241015:+																																		2																																							
chr1:11131549-11278879:+																																																									1																
chr1:11138234-11138339:+																				1																																								1													
chr1:11138234-11150348:+																																										1																															
chr1:11138234-11160102:+																																																												1													
chr1:11150246-11194087:+																																													1																												
