id	antiHormonal_20m_ESR1_tamoxifen_2m_3	aging_24m_ESR1_6m_2	aging_24m_CYP19A1_no_3	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_3	aging_24m_CYP19A1_6m_3	aging_12m_ESR1_no_2	antiHormonal_18m_ESR1_no_1	aging_12m_ESR1_no_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_no_2	aging_24m_ESR1_6m_3	aging_18m_ESR1_no_1	aging_12m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_18m_ESR1_no_3	aging_24m_CYP19A1_12m_1	aging_30m_CYP19A1_18m_3	aging_24m_CYP19A1_6m_2	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_1	aging_24m_ESR1_12m_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_3	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_24m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_1w_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_no_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_6m_1	antiHormonal_20m_ESR1_letrozole_2m_1	aging_24m_ESR1_no_1	aging_24m_ESR1_12m_1	antiHormonal_20m_ESR1_no_3	aging_24m_CYP19A1_12m_3	aging_24m_CYP19A1_6m_1	aging_12m_CYP19A1_no_3	aging_12m_CYP19A1_no_2	aging_30m_ESR1_18m_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_30m_ESR1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_18m_CYP19A1_1w_3	aging_12m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_no_2	aging_18m_CYP19A1_no_3	aging_24m_ESR1_12m_3	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_1	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_no_3	aging_30m_CYP19A1_18m_1	aging_18m_ESR1_1w_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	aging_18m_CYP19A1_no_1
chrUn_JH584304v1:25369-59773:-	20		12	4			7	7	5	12	22	18	11	6		12	19	7	10	19		12	7		19			6	7		8	8	19		16	7	12	16	18	9	9	23	30	16	15	13		20	14		10			12	13			15		4	22	9	3	4	7		7	21	8	10		16
chrX:12590022-12594378:-	2																																																																							
chrX:12610956-12622694:-	1																																																																		1					
chrX:19025055-19069852:-	1																																																																							
chrX:20028167-20028769:-	1										1																1																												1																	
chrX:41256585-41300119:+	1															2																																																								
chrX:56436632-56437061:-	1																																																																							
chrX:59349585-59366913:-	4	1						1				2		3	2	1																1							2			2	1						2									1	2						3		1					
chrX:70464713-70465573:-	1																																																																							
chrX:70484131-70493613:-	1																																																																							
chrX:73278334-73278582:-	1							1						1																		1	1	2																																					1	
chrX:73282765-73283053:-	3		4	2		2	2				3		1				2	3		1		1		1		1		1				1			1			1			2								1	3										1							1			2	1	1
chrX:82389868-82533551:+	1					1															3					2											1	1						1					1				1		1																	1
chrX:82670868-82773102:+	2																																								1																															
chrX:100257380-100259184:-	2		2		1			4		1			3	3	1		2			1				1	1		1				3	1	3					2	3					1	2			2			4		1		1			3													2	2
chrX:100506746-100508393:+	1														1																																																									
chrX:100639006-100639717:+	2									1																													1																																1	
chrX:101598490-101682734:-	1																																																																							
chrX:102509614-102509817:+	1																																																																							
chrX:104950533-104950711:+	1																																																																						1	
chrX:107847588-107849203:-	1							1	1		1							1						1		2			1			1		1	1																																					
chrX:138855656-138869348:-	1								1		2			1		1	2	1	1								1								1				1																			1				2									2	
chrX:141480884-141481035:+	2																																																																							
chrX:143129678-143132415:+	1	1	1	1			3	5				1		3	1	4		2		2			3		1		1		1	2	3	1	1				2	1	4			1	1	6						2	5	2		2				1	1	1					2			1		3	5	1
chrX:149334604-149336113:-	2																																																																							
chrX:158068262-158100998:+	2		1								1																				1							2											1																		1					2
chrX:158094460-158111473:+	1	1							3						1																																				2			1																		
chrX:167679310-167682782:+	1								1				1			5			1			1										2							5										1	1				1		1												2				
chr1:12856303-12856922:+	1		1																									1																																							2		1			
chr1:14279119-14323326:-	1																													1			1					1												1	1																					1
chr1:14299717-14323326:-	1					3					1		1	2		1			1	1				1								2														1					2													1		1			1			
chr1:21907859-21941405:+	1																																																																							
chr1:24085439-24125692:-	1							1					1																																																											
chr1:38092697-38124733:-	1				1		2					1					1	1	1																1			1									1	2	1								2	1				1					1					1
chr1:38146649-38147548:-	1		5					2	1	2	2	1	1	1	3	6			1	4		5		1	1	6					1	3		2	1		2	1	2		6		1	10		1			3	4	6			2		3	1	2		1	3	5			3	1	5	2	4	4		1
chr1:38573987-38576027:-	1					4		2				1		2	2			2				1		1			1						3			1		5															1		2		2			3	1	2		2	1	1					1	5
