	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type	gene	databases	has_db
chr1:21494273-21549693:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Kcnq5	.	FALSE
chr1:21494273-21549693:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Kcnq5	.	FALSE
chr1:36249067-36255387:+	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Uggt1	circAtlas:mmu-Uggt1_0067	TRUE
chr1:36249067-36255387:-	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Uggt1	circAtlas:mmu-Uggt1_0067	TRUE
chr1:40049716-40051001:+	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Map4k4	circAtlas:mmu-Map4k4_0071	TRUE
chr1:40049716-40051001:-	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Map4k4	circAtlas:mmu-Map4k4_0071	TRUE
chr1:45414829-45415012:+	0.224111452965025	-30	1.59279271278507	-17.5791864033837	3.55642904815654e-69	7.92775640577256e-67	circRNA	Col5a2	.	FALSE
chr1:58950794-58951421:-	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Trak2	circAtlas:mmu-Trak2_0009	TRUE
chr1:58950795-58951421:+	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Trak2	circAtlas:mmu-Trak2_0009	TRUE
chr1:63118111-63144918:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Ino80d	circAtlas:mmu-Ino80d_0006	TRUE
chr1:63118112-63144918:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Ino80d	circAtlas:mmu-Ino80d_0006	TRUE
chr1:151248058-151255265:+	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Swt1	.	FALSE
chr1:151248058-151255265:-	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Swt1	.	FALSE
chr1:170361474-170361700:+	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Nos1ap,Gm46171	.	FALSE
chr1:170361474-170361700:-	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Nos1ap,Gm46171	.	FALSE
chr1:179498147-179506494:+	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Sccpdh	.	FALSE
chr1:179498147-179506494:-	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Sccpdh	.	FALSE
chr1:184564772-184566225:+	0.759087179397665	-30	1.59141658011168	-17.5943875097965	2.71980312673436e-69	7.92775640577256e-67	EI-circRNA	Mtarc2	circAtlas:mmu-Marc2_0011,circAtlas:mmu-Marc2_0003	TRUE
chr1:184564772-184566225:-	0.759087179397665	-30	1.59141658011168	-17.5943875097965	2.71980312673436e-69	7.92775640577256e-67	EI-circRNA	Mtarc2	circAtlas:mmu-Marc2_0011,circAtlas:mmu-Marc2_0003	TRUE
chr10:9633848-9634002:+	0.224111452965025	-30	1.59279271278507	-17.5791864033837	3.55642904815654e-69	7.92775640577256e-67	circRNA	Stxbp5	circAtlas:mmu-Stxbp5_0030	TRUE
chr10:12297340-12362398:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Utrn	circAtlas:mmu-Utrn_0100	TRUE
chr10:12297341-12362398:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Utrn	circAtlas:mmu-Utrn_0100	TRUE
chr10:12496935-12543402:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Utrn	circAtlas:mmu-Utrn_0133,circAtlas:mmu-Utrn_0163	TRUE
chr10:12496935-12543402:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Utrn	circAtlas:mmu-Utrn_0133,circAtlas:mmu-Utrn_0163	TRUE
chr10:13322276-13323133:+	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	ciRNA	Phactr2	circAtlas:mmu-Phactr2_0011	TRUE
chr10:13322276-13323133:-	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	ciRNA	Phactr2	circAtlas:mmu-Phactr2_0011	TRUE
chr10:34459893-34462330:-	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Frk	.	FALSE
chr10:34459894-34462330:+	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Frk	.	FALSE
chr10:84815911-84837765:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Ric8b,Gm34633	circAtlas:mmu-Ric8b_0012	TRUE
chr10:84815912-84837765:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Ric8b,Gm34633	circAtlas:mmu-Ric8b_0012	TRUE
chr10:112291512-112294559:+	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Kcnc2	circAtlas:mmu-Kcnc2_0002	TRUE
chr10:112291513-112294559:-	0.560278632412562	-30	1.59269793878735	-17.5802324584652	3.49141988093019e-69	7.92775640577256e-67	EI-circRNA	Kcnc2	circAtlas:mmu-Kcnc2_0002	TRUE
chr11:4091619-4091764:+	0.8964458118601	-30	1.5925186239938	-17.5822119616914	3.37162402620378e-69	7.92775640577256e-67	circRNA	Ccdc157	.	FALSE
chr11:4091619-4091764:-	0.8964458118601	-30	1.5925186239938	-17.5822119616914	3.37162402620378e-69	7.92775640577256e-67	circRNA	Ccdc157	.	FALSE
chr11:12296055-12338696:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Gm12002,Cobl	circAtlas:mmu-Cobl_0020,circAtlas:mmu-Cobl_0019	TRUE
chr11:12296056-12338696:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Gm12002,Cobl	circAtlas:mmu-Cobl_0020,circAtlas:mmu-Cobl_0019	TRUE
chr11:19883046-19883202:-	0.224111452965025	-30	1.59279271278507	-17.5791864033837	3.55642904815654e-69	7.92775640577256e-67	ciRNA	Spred2	.	FALSE
chr11:20017009-20017158:+	0.224111452965025	-30	1.59279271278507	-17.5791864033837	3.55642904815654e-69	7.92775640577256e-67	ciRNA	Actr2	.	FALSE
chr11:34216240-34223754:-	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Dock2	.	FALSE
chr11:34216241-34223754:+	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Dock2	.	FALSE
chr11:35125663-35132535:+	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Slit3	circAtlas:mmu-Slit3_0065	TRUE
chr11:35125664-35132535:-	0.44822290593005	-30	1.5927140382696	-17.5800547538467	3.50237956339614e-69	7.92775640577256e-67	EI-circRNA	Slit3	circAtlas:mmu-Slit3_0065	TRUE
chr11:44422103-44442646:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Gm51891,Rnf145	circAtlas:mmu-Rnf145_0001	TRUE
chr11:44422103-44442646:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Gm51891,Rnf145	circAtlas:mmu-Rnf145_0001	TRUE
chr11:59634653-59634730:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	ciRNA	Mprip	.	FALSE
chr11:59634653-59634730:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	ciRNA	Mprip	.	FALSE
chr11:60401394-60401754:+	0.280139316206281	-30	1.59276167038543	-17.5795290159289	3.53500492039958e-69	7.92775640577256e-67	EI-circRNA	Myo15a	.	FALSE
chr11:65095084-65119687:-	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Myocd	circAtlas:mmu-Myocd_0007	TRUE
chr11:65095085-65119687:+	0.336167179447537	-30	1.59274055219971	-17.5797621033316	3.52050316094775e-69	7.92775640577256e-67	EI-circRNA	Myocd	circAtlas:mmu-Myocd_0007	TRUE
