circ_id	gene_id	antiHormonal_20m_ESR1_tamoxifen_2m_3	aging_24m_ESR1_6m_2	aging_24m_CYP19A1_no_3	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_3	aging_24m_CYP19A1_6m_3	aging_12m_ESR1_no_2	antiHormonal_18m_ESR1_no_1	aging_12m_ESR1_no_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_no_2	aging_24m_ESR1_6m_3	aging_18m_ESR1_no_1	aging_12m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_18m_ESR1_no_3	aging_24m_CYP19A1_12m_1	aging_30m_CYP19A1_18m_3	aging_24m_CYP19A1_6m_2	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_1	aging_24m_ESR1_12m_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_3	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_24m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_1w_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_no_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_6m_1	antiHormonal_20m_ESR1_letrozole_2m_1	aging_24m_ESR1_no_1	aging_24m_ESR1_12m_1	antiHormonal_20m_ESR1_no_3	aging_24m_CYP19A1_12m_3	aging_24m_CYP19A1_6m_1	aging_12m_CYP19A1_no_3	aging_12m_CYP19A1_no_2	aging_30m_ESR1_18m_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_30m_ESR1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_18m_CYP19A1_1w_3	aging_12m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_no_2	aging_18m_CYP19A1_no_3	aging_24m_ESR1_12m_3	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_1	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_no_3	aging_30m_CYP19A1_18m_1	aging_18m_ESR1_1w_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	aging_18m_CYP19A1_no_1
chr1:3729266-3729444:+																															2																																										
chr1:4212835-4298842:-																												1						1																																							
chr1:4212835-4337843:-																																																				2																	1				
chr1:4234078-4301367:-										2																																																	1						1			1					
chr1:4267757-4298842:-										1						1						1													1																1	1															1						
chr1:4267757-4301367:-																				3																																2											1										
chr1:4313356-4315329:-																	1		1																	1																																					
chr1:4313356-4337843:-			2							1						1						2								1				4						1			1			1	2					1											2			2				1	1		
chr1:4354989-4381656:-																																																																	1								
chr1:4363149-4381656:-																												1																																													
chr1:4988346-4991876:+										1																																																															
chr1:4994070-4994212:-																																																		1																							
chr1:5159232-5168356:+																																								1									1	2																						1	
chr1:5159232-5171346:+					3					1		1	2						3					3	2		1																1													2																	
chr1:5159232-5187710:+										2																																																															
chr1:5159232-5194692:+																																																																1									
chr1:5159232-5206160:+																									1																																																
chr1:5159232-5220284:+																												2																																													
chr1:5163586-5203485:+			2																														1			2																																1					
chr1:5165838-5187710:+																											1													1																		1															
chr1:5165838-5194692:+																																						1							3		2				1																						
chr1:5165838-5206160:+													1							2																																													2								
chr1:5165838-5214074:+									1																																																																
chr1:5165838-5220284:+																																															2																										
chr1:5187613-5194692:+															1																																						1							1													
chr1:5194500-5220284:+																																																															2										
chr1:5203307-5214074:+																																																														1											
chr1:6314329-6320391:+																		1																																																							
chr1:6315649-6333488:+																																																		1																							
chr1:6333248-6335845:+													1																																																												
chr1:6335949-6337257:+																																			1																																						
chr1:6339014-6339403:-																																													1																												
chr1:6807804-6823260:+																																				1																																					
chr1:7178676-7190839:+																																																							1																		
chr1:7190418-7190839:+						3	8		2					5	1		2		2		4		3	1		1	1		4			2	2											1	1			1		1	4	2		1	1		2							1		1	2					6	
chr1:7190418-7217963:+			2																1													1													1								2	1																			
chr1:7218591-7219329:-					2																																																																				
chr1:8653429-8677376:-																												1																																													
chr1:9619697-9619865:-																													1																																												
chr1:9622846-9623021:+																									1																																																
chr1:9623543-9627330:+																																																										1															
chr1:9623543-9630432:+							2																																																																		
chr1:9671279-9677254:+										1																																																															
chr1:9689775-9693353:-							1									1											1						1		1																2	1									1												
chr1:9691180-9693353:-																																																																				1					
chr1:9748497-9753393:-																																			1																																						
chr1:9935356-9942558:+																												1		1										1																																	
chr1:9942483-9949300:+																1																																														2											
chr1:9949251-9952116:+																																																								2																	
chr1:9950557-9959250:+																																																																							2		
chr1:10097328-10103548:-																																																																				1					
chr1:10115301-10137045:+																							1																																																		
chr1:10134558-10147467:+														1																																																										2	
chr1:10134558-10153783:+																																													1																												
chr1:10145085-10152571:+										1	1				1			1	1																																																						
chr1:10145085-10156177:+																																1																																									
chr1:10152478-10166238:+																											1																						1								1																
chr1:10222026-10234012:-															1																																				1																						
