	logFC	logCPM	LR	PValue	DE	FDR	type	gene	databases	has_db
chr2:76782445-76783179:-	-7.99129190777593	-0.378062919025517	12.4607742286172	0.000415587649163607	0	0.517848325438311	EI-circRNA	Ttn	.	FALSE
chr5:87817373-87821140:+	-6.82623759217798	-1.44025795812039	11.9102888403097	0.00055824743439121	0	0.517848325438311	EI-circRNA	Csn1s1	.	FALSE
chr5:87934478-87936422:-	-5.22592360756833	-2.70791253499474	11.7052459928982	0.000623241418779712	0	0.517848325438311	EI-circRNA	Csn1s2a	.	FALSE
chr4:108434211-108434387:+	2.39102186663556	-4.28965974917067	11.6518480409624	0.000641387856727457	0	0.517848325438311	EI-circRNA	Prpf38a	.	FALSE
chr5:87934477-87936421:-	-4.9921800050825	-2.86279630520131	11.5794540695028	0.00066684516194208	0	0.517848325438311	EI-circRNA	Csn1s2a	.	FALSE
chr2:76698631-76698840:-	2.36937063594829	-4.29042000870535	11.567705170003	0.000671071879878644	0	0.517848325438311	EI-circRNA	Ttn	.	FALSE
chr17:40158209-40158981:+	-4.17420294526023	-3.26571844925571	8.97341828472538	0.00273935618832342	0	0.517848325438311	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr11:77945948-77946135:-	2.12932810215355	-4.2950550477792	8.82373196430775	0.00297337937265559	0	0.517848325438311	ciRNA	Flot2	.	FALSE
chr16:32630273-32630474:-	2.12932810215355	-4.2950550477792	8.82373196430775	0.00297337937265559	0	0.517848325438311	ciRNA	Smbd1	.	FALSE
chr1:3729266-3729444:+	2.12932810215355	-4.2950550477792	8.82373196430775	0.00297337937265559	0	0.517848325438311	ciRNA	Xkr4	.	FALSE
chr2:30239670-30239858:+	2.12932810215355	-4.2950550477792	8.82373196430775	0.00297337937265559	0	0.517848325438311	ciRNA	Sh3glb2	.	FALSE
chr7:113486005-113486127:-	2.12932810215355	-4.2950550477792	8.82373196430775	0.00297337937265559	0	0.517848325438311	circRNA	Spon1	.	FALSE
chr8:95550074-95550267:+	2.12932810215355	-4.2950550477792	8.82373196430775	0.00297337937265559	0	0.517848325438311	ciRNA	Ciapin1	.	FALSE
chr9:69383335-69383429:-	2.57655629733388	-4.15045018339656	8.80045051718574	0.00301156169574195	0	0.517848325438311	circRNA	Anxa2	.	FALSE
chr14:22112897-22113179:-	2.11601170264694	-4.29549910391583	8.78876093916975	0.00303092043748095	0	0.517848325438311	ciRNA	Lrmda	.	FALSE
chr1:131439444-131439622:+	2.11601170264694	-4.29549910391583	8.78876093916975	0.00303092043748095	0	0.517848325438311	ciRNA	Srgap2	.	FALSE
chr3:89313217-89314843:+	2.11601170264694	-4.29549910391583	8.78876093916975	0.00303092043748095	0	0.517848325438311	EI-circRNA	Flad1	circAtlas:mmu-Flad1_0003	TRUE
chr5:44194898-44201709:+	2.11601170264694	-4.29549910391583	8.78876093916975	0.00303092043748095	0	0.517848325438311	EI-circRNA	Prom1	circAtlas:mmu-Prom1_0011	TRUE
chr1:191128083-191128318:+	2.03029174707103	-4.29817915123147	8.5509131384768	0.00345348948520329	0	0.517848325438311	ciRNA	Ppp2r5a	.	FALSE
chr9:66935393-66936968:+	-4.84792850442585	-2.95725625498593	8.50940020536147	0.00353316501149887	0	0.517848325438311	EI-circRNA	Tpm1	circAtlas:mmu-Tpm1_0017,circAtlas:mmu-Tpm1_0041,circAtlas:mmu-Tpm1_0042,circAtlas:mmu-Tpm1_0018,circAtlas:mmu-Tpm1_0035	TRUE
chr2:120254180-120259378:+	2.00999741932033	-4.2987660472453	8.49077905683236	0.00356950926634077	0	0.517848325438311	EI-circRNA	Ganc	circAtlas:mmu-Ganc_0008	TRUE
chr2:59096732-59096844:-	2.00999741932033	-4.2987660472453	8.49077905683236	0.00356950926634077	0	0.517848325438311	EI-circRNA	Pkp4	circBase_lifted:hsa_circ_0056777	TRUE
chr10:106881074-106920812:-	1.98053460561249	-4.29977454740348	8.42399468872637	0.00370301329093216	0	0.517848325438311	EI-circRNA	Acss3,Gm19181,Gm18040	circAtlas:mmu-Acss3_0007,circBase_lifted:hsa_circ_0027678	TRUE
chr13:59019550-59026076:-	1.98053460561249	-4.29977454740348	8.42399468872637	0.00370301329093216	0	0.517848325438311	EI-circRNA	Ntrk2	circAtlas:mmu-Ntrk2_0008,circBase_lifted:hsa_circ_0087378	TRUE
chr15:57785481-57785669:-	1.98053460561249	-4.29977454740348	8.42399468872637	0.00370301329093216	0	0.517848325438311	ciRNA	Tbc1d31	.	FALSE
chr2:43690393-43690578:-	1.98053460561249	-4.29977454740348	8.42399468872637	0.00370301329093216	0	0.517848325438311	ciRNA	Arhgap15	.	FALSE
