circ_id	gene_id	aging_24m_ESR1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_2	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_12m_CYP19A1_no_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_3	aging_18m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_CYP19A1_no_2	aging_24m_CYP19A1_12m_1	aging_24m_CYP19A1_6m_2	aging_12m_CYP19A1_1w_1	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_letrozole_2m_2	aging_24m_ESR1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_20m_CYP19A1_no_3	aging_12m_CYP19A1_1w_3	aging_30m_ESR1_18m_3	aging_24m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_12m_ESR1_no_2	aging_30m_CYP19A1_18m_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_6m_2	aging_18m_ESR1_no_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_1	aging_18m_CYP19A1_1w_3	aging_18m_ESR1_no_1	aging_18m_ESR1_1w_1	antiHormonal_18m_CYP19A1_no_1	aging_24m_ESR1_12m_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_ESR1_no_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_12m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_1w_3	antiHormonal_20m_ESR1_no_1	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_24m_ESR1_6m_1	antiHormonal_18m_ESR1_no_3	aging_18m_ESR1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_2	aging_24m_CYP19A1_12m_3	aging_18m_CYP19A1_no_1	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_30m_ESR1_18m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_12m_ESR1_1w_3	aging_24m_ESR1_12m_2	aging_12m_CYP19A1_no_1	aging_12m_ESR1_no_1	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_1	aging_12m_CYP19A1_1w_2	aging_12m_ESR1_1w_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_3	aging_18m_CYP19A1_1w_2
chr1:3451731-3451944:+																																																																	1								
chr1:3661899-3662173:+																																																			1				1																		
chr1:3729266-3729444:+																				2																																																					
chr1:4208596-4208708:+																																																																				1					
chr1:4896350-4896462:-																																													1																												
chr1:4969328-4969416:-											1																																																														
chr1:6339014-6339403:-																																								1																																	
chr1:7218591-7219329:-																																				2																																					
chr1:7238467-7238571:-						1																																																																			
chr1:7240029-7240125:-																														1																																											
chr1:9619697-9619865:-																																																																	1								
chr1:9646505-9646782:-								1																																																																	
chr1:9646505-9646874:-																																																																									1
chr1:10156154-10156231:-																																								1																																	
chr1:10254218-10259759:+																																				1																																					
chr1:10279309-10279388:+																																												1																													
chr1:11139334-11139411:-																																																									1																
chr1:11254585-11254702:-																																												1													1		1			1											
chr1:12066604-12066718:-																																																												1													
chr1:12878078-12892323:+																																																														1											
chr1:13225965-13226100:+				1																																																																					
chr1:13244655-13244756:+																																																								1																	
chr1:13438288-13438511:+					1																																																																				
chr1:13698784-13698935:+																																																																									1
chr1:15921201-15921276:-						1																																														1																					
chr1:16183960-16184038:-																																																																	1								
chr1:16336303-16336411:+																																			1																																						
chr1:16514068-16514149:+											1																													2																		2															
chr1:16583495-16583572:+																							1																																																		
chr1:16720628-16722077:+																																	1																																								
chr1:16745302-16745399:-																																1																																									
chr1:16775012-16775102:-																																																					2																				
chr1:17051879-17052279:+																																												1																													
chr1:17067688-17074758:-																																	1																																								
chr1:17098536-17098685:+																																																																									1
chr1:17200067-17200176:-																																																																				1					
chr1:17233054-17233226:-																																		2																																							
chr1:21767474-21767580:+																																								1	1						1																					1					
chr1:21784783-21784992:+																																																																				1					
chr1:21827414-21827540:+																																																											1														
chr1:21901575-21901667:+																																														1																											
chr1:21907859-21941405:+																																							1																																		
chr1:22004608-22004706:+																																			1																																						
chr1:22018669-22018791:+																																																												1													
chr1:23147213-23147337:+																																																													1												
chr1:23226835-23227023:+																			1																																																						
chr1:23308068-23308213:-													1																																																												
chr1:23312611-23312754:-																		1																	1										1													1															
chr1:23317128-23317982:-						1																																																																			
chr1:23408398-23408481:+																																																					1																				
chr1:23874145-23874261:+																														1																																											
chr1:23885031-23885157:+													2																																							1	1																				
chr1:24059216-24059402:+																																																											1														
chr1:30843464-30843547:+																																	1												1		1						1																		1		1
chr1:30903605-30903710:+																																			1																																						
chr1:33708208-33708410:+																																																	1																								
chr1:34144002-34144150:-																																																											1		1										1		
chr1:34175337-34175508:-																																												1															1				1										
chr1:34191534-34228395:-																						1																																																			
chr1:34219147-34219237:-																							1																																																		
chr1:34223125-34240491:-														1																																																											
chr1:34262885-34268327:+																																																																	2								
chr1:34268000-34268083:-																		1																																																							
chr1:34277225-34277356:-																																																			1				1																		
chr1:34303873-34306003:-																																																																		1			1				
chr1:34314414-34314819:-								1																																				1																		1						1					
chr1:34327510-34327618:-			1																																																																						
chr1:34330924-34333496:-																																1																																									
chr1:34482944-34483139:-																						1																																																			
chr1:34499055-34499310:-																																																								1																	
chr1:34852914-34853047:+														1																																																											
chr1:34853048-34853157:+																																	1																			1	1																				
chr1:34863223-34863379:+																		1																																																							
chr1:36009168-36009246:+											1																																																														
chr1:36085361-36085433:-																																																																						1			
chr1:36108421-36108517:-																				1												1							1																																		
chr1:36142203-36142340:-																	1																																																								
chr1:36142859-36142972:-																																																					1																				
chr1:36356494-36356630:+																																																	1																								
chr1:36359253-36359327:-																																																														1											
chr1:36384952-36387637:+																							1																																																		
chr1:36397958-36398048:+																																														1																											
chr1:36569319-36569412:+																																								1																																	
chr1:36569335-36569506:+																																																											1														
chr1:36569413-36569506:+																																																								1																	1
chr1:36570494-36570595:+																																																													1												
chr1:36744705-36744805:+																																															1																										
chr1:36745894-36745974:+																																																		1																							
chr1:36832127-36832205:+																						1																																				1															
chr1:36907689-36907824:+																				1																																																					
chr1:37469597-37469690:-																											1																																														
chr1:37491348-37491635:+																																																																							2		
chr1:37844919-37844998:+																																																												1													
chr1:38436874-38436999:+																																					1																																				
chr1:39252373-39252451:-																																																																					1				
chr1:39410689-39410864:-							1																																																																		1
chr1:39412959-39413129:+																						1															1																																				
chr1:39436899-39437084:+																							1																																																		
chr1:39591438-39594723:+																											1																																														
chr1:39970687-39970802:-																																																				2																					
chr1:40295711-40295962:-																																							1																																		
chr1:40349348-40349448:-												1																																																													
chr1:40354115-40354300:-																																																																				1					
chr1:40354632-40354714:-							1																																																																		
chr1:40363866-40366683:-												1																																																													
chr1:40391683-40391757:-			1							1																																															1	2															
chr1:40894583-40894781:-																																				1																																					
chr1:42920584-42920707:-																																								1																						2											
chr1:42920589-42920679:-																																																																				1					
chr1:43149922-43150109:-																																																																									1
chr1:43202257-43202544:+																																1																																									
chr1:43486467-43486647:-																																																									1																
chr1:43509807-43509912:-																																																			1				1																		
chr1:43997722-43997930:-			1																																																																						
chr1:44011755-44041325:+																																																			1				1																		
chr1:44014867-44014976:-																														1																																											
chr1:44049692-44049809:-																																																				1																					
chr1:44607947-44608030:-																		1																																																							
chr1:44609152-44609328:-																																																																							1		
chr1:44752799-44752949:-																																																																									1
chr1:45350934-45361651:-																																																	1																								
chr1:45363583-45363689:-																											1																																														1
chr1:45385272-45386914:-																																																										1															
chr1:45386391-45387994:-																																																		1																							
chr1:45414830-45415012:+																1																																																									
chr1:45419391-45421316:+																																											1	1																													
chr1:46874791-46874916:+																										1																																															
chr1:50994127-50994223:-																																																																	1								
chr1:51002303-51002409:-																																		2																																							
chr1:51340501-51340650:-							1																																																																		
chr1:51368569-51368686:+																	1																																																								
chr1:52133588-52133671:-																																																																									1
chr1:52177445-52177577:-																																																											1														
chr1:52616033-52616132:-			1																																																																						
chr1:52747494-52747626:+																				1																																																					
chr1:54079332-54079426:+																					1																																																				
chr1:54785087-54785215:+																																																												1													
chr1:54922793-54924470:+																																																												1										1			1
chr1:54959343-54959528:+						1																																																																			
chr1:55042468-55042579:+																																									2																																
chr1:55124645-55125261:+																1																																																									
chr1:55490391-55490645:-											1																																																														
chr1:55525738-55525867:-																							1																																																		
chr1:55544704-55544790:-																																		1																																							
chr1:55592608-55592723:-																																																																				1					
chr1:55735141-55735269:-																																																								1																	
