	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type	gene	databases	has_db
chr5:87925915-87926842:+	214.046609514367	-39.9987368485873	2.40323581227528	-15.8114890991956	2.59265523166871e-56	2.5544135670016e-52	EI-circRNA	Csn1s2a	.	FALSE
chr5:87925915-87926842:-	214.046609514367	-39.9987368485873	2.40323581227528	-15.8114890991956	2.59265523166871e-56	2.5544135670016e-52	EI-circRNA	Csn1s2a	.	FALSE
chr2:24753235-24767638:+	0.62716779480166	45.5492238303238	5.39232678627704	8.07614700599239	6.68452897935677e-16	3.29296608845563e-12	EI-circRNA	Ehmt1	circAtlas:mmu-Ehmt1_0041,circAtlas:mmu-Ehmt1_0090,circAtlas:mmu-Ehmt1_0069,circBase_lifted:hsa_circ_0004101	TRUE
chr2:24753235-24767638:-	0.62716779480166	45.5492238303238	5.39232678627704	8.07614700599239	6.68452897935677e-16	3.29296608845563e-12	EI-circRNA	Ehmt1	circAtlas:mmu-Ehmt1_0041,circAtlas:mmu-Ehmt1_0090,circAtlas:mmu-Ehmt1_0069,circBase_lifted:hsa_circ_0004101	TRUE
chr17:40158496-40158638:+	11.0828481064064	-32.0644337163776	3.91216567534294	-7.68485698493385	1.53168000208751e-14	3.10145172055184e-11	circRNA	Rn18s-rs5,Gm26917,AY036118	circAtlas:mmu-Yam1_0009	TRUE
chr17:40158497-40158638:-	11.0828481064064	-32.0644337163776	3.91216567534294	-7.68485698493385	1.53168000208751e-14	3.10145172055184e-11	circRNA	Rn18s-rs5,Gm26917,AY036118	circAtlas:mmu-Yam1_0009	TRUE
chr17:40158498-40158638:+	11.3699260007824	-32.0944861068311	3.91785315895908	-7.68137163027997	1.57394149736201e-14	3.10145172055184e-11	circRNA	Rn18s-rs5,Gm26917,AY036118	circAtlas:mmu-Yam1_0009	TRUE
chr17:40158498-40158638:-	11.3699260007824	-32.0944861068311	3.91785315895908	-7.68137163027997	1.57394149736201e-14	3.10145172055184e-11	circRNA	Rn18s-rs5,Gm26917,AY036118	circAtlas:mmu-Yam1_0009	TRUE
chr9:64764949-64775144:+	1.7171276014836	43.8358651180218	5.41734121546466	7.72258262015962	1.13995980301926e-14	3.10145172055184e-11	EI-circRNA	Dennd4a	circAtlas:mmu-Dennd4a_0044	TRUE
chr9:64764949-64775144:-	1.7171276014836	43.8358651180218	5.41734121546466	7.72258262015962	1.13995980301926e-14	3.10145172055184e-11	EI-circRNA	Dennd4a	circAtlas:mmu-Dennd4a_0044	TRUE
chr17:40158496-40158640:+	10.9632952830538	-31.8712423069862	3.90947008946348	-7.64073944125904	2.15977741789125e-14	3.86894672904973e-11	circRNA	Rn18s-rs5,Gm26917,AY036118	circAtlas:mmu-Yam1_0009	TRUE
chr17:40158498-40158636:+	10.9507933374521	-31.6884285246975	3.90778168313665	-7.59725873449192	3.02469414742393e-14	4.96679984791571e-11	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr1:34153013-34156605:+	0.886647472594457	42.6055378385371	5.38855311223835	7.53551778979682	4.86400871678612e-14	6.77012480343795e-11	EI-circRNA	Dst,Mir6896	circAtlas:mmu-Dst_0037,circBase_lifted:hsa_circ_0005891	TRUE
chr1:34153014-34156605:-	0.886647472594457	42.6055378385371	5.38855311223835	7.53551778979682	4.86400871678612e-14	6.77012480343795e-11	EI-circRNA	Dst,Mir6896	circAtlas:mmu-Dst_0037,circBase_lifted:hsa_circ_0005891	TRUE
chr17:40159379-40159592:-	2.85490784592885	-28.4776962689513	3.51724355738751	-7.52796780687489	5.1536093403486e-14	6.77012480343795e-11	circRNA	Gm26917,AY036118	.	FALSE
chr17:40159377-40159595:-	2.77611409496833	-28.3217699039121	3.5111604357097	-7.49660130485944	6.5493802585103e-14	8.06597112462159e-11	circRNA	Gm26917,AY036118	.	FALSE
chr13:106959463-106984844:-	0.26134086095935	41.5441959739363	5.42368497794037	7.29102006012029	3.07616955680732e-13	3.36755117316045e-10	EI-circRNA	Lrrc70,Ipo11-lrrc70,Ipo11	circAtlas:mmu-Ipo11_0004,circAtlas:mmu-Ipo11_0044,circBase_lifted:hsa_circ_0072651	TRUE
chr13:106959464-106984844:+	0.26134086095935	41.5441959739363	5.42368497794037	7.29102006012029	3.07616955680732e-13	3.36755117316045e-10	EI-circRNA	Lrrc70,Ipo11-lrrc70,Ipo11	circAtlas:mmu-Ipo11_0004,circAtlas:mmu-Ipo11_0044,circBase_lifted:hsa_circ_0072651	TRUE
chr4:130445465-130457859:+	16.6714097051178	-21.7730308445784	2.75468890881535	-7.17795420793332	7.076225109848e-13	6.97185078947774e-10	EI-circRNA	Pum1	circAtlas:mmu-Pum1_0002,circAtlas:mmu-Pum1_0017,circBase:mm9_circ_018129,circBase_lifted:hsa_circ_0006636,circBase_lifted:hsa_circ_0000044	TRUE
chr4:130445465-130457859:-	16.6714097051178	-21.7730308445784	2.75468890881535	-7.17795420793332	7.076225109848e-13	6.97185078947774e-10	EI-circRNA	Pum1	circAtlas:mmu-Pum1_0002,circAtlas:mmu-Pum1_0017,circBase:mm9_circ_018129,circBase_lifted:hsa_circ_0006636,circBase_lifted:hsa_circ_0000044	TRUE
chr17:40158819-40158979:+	9.03618577620458	-33.4034098437648	4.42087886612456	-7.10343142047992	1.21696750638756e-12	1.141921176827e-09	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr17:40158822-40158973:+	9.92009339657274	-31.7337895986319	4.24385289054191	-7.0063195792904	2.44668710670184e-12	2.19145315625272e-09	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr6:136540758-136548536:+	2.41385264359521	-30.5829723039329	4.10467539904823	-6.96351587522866	3.31883742671040e-12	2.72490381222202e-09	EI-circRNA	Atf7ip	circAtlas:mmu-Atf7ip_0014,circAtlas:mmu-Atf7ip_0035	TRUE
chr6:136540758-136548536:-	2.41385264359521	-30.5829723039329	4.10467539904823	-6.96351587522866	3.31883742671040e-12	2.72490381222202e-09	EI-circRNA	Atf7ip	circAtlas:mmu-Atf7ip_0014,circAtlas:mmu-Atf7ip_0035	TRUE
chr17:40158821-40158976:+	10.6252639085758	-33.0505151740017	4.47367907409587	-6.94071136076676	3.90130398957609e-12	3.07500780458387e-09	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr17:40158819-40158976:+	10.6083993421232	-32.9927101604805	4.46944075644392	-6.93435976655379	4.08064964397509e-12	3.09266158594343e-09	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr17:40158819-40158973:+	10.6290880403564	-32.9030662740876	4.47795798538337	-6.90115145674862	5.15826997609547e-12	3.76458184736894e-09	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr6:88066971-88067277:+	2.43614422736846	-32.5539644025502	4.49483797752432	-6.79756746635367	1.06400327147507e-11	6.98872815480541e-09	circRNA	Rpn1	circAtlas:mmu-Rpn1_0003,circBase_lifted:hsa_circ_0067230	TRUE
chr6:88066971-88067278:-	2.43614422736846	-32.5539644025502	4.49483797752432	-6.79756746635367	1.06400327147507e-11	6.98872815480541e-09	EI-circRNA	Rpn1	circAtlas:mmu-Rpn1_0003,circBase_lifted:hsa_circ_0067230	TRUE
chr17:40158818-40158976:+	9.81388880037045	-32.1308730612013	4.44818103894963	-6.77375151716312	1.25485123355963e-11	7.0648124449407e-09	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr4:130445464-130457859:+	15.3426290710378	-20.636033381384	2.75044669419356	-6.77563881558814	1.23857753146411e-11	7.0648124449407e-09	EI-circRNA	Pum1	circAtlas:mmu-Pum1_0002,circAtlas:mmu-Pum1_0017,circBase:mm9_circ_018129,circBase_lifted:hsa_circ_0006636,circBase_lifted:hsa_circ_0000044	TRUE
chr4:130445464-130457859:-	15.3426290710378	-20.636033381384	2.75044669419356	-6.77563881558814	1.23857753146411e-11	7.0648124449407e-09	EI-circRNA	Pum1	circAtlas:mmu-Pum1_0002,circAtlas:mmu-Pum1_0017,circBase:mm9_circ_018129,circBase_lifted:hsa_circ_0006636,circBase_lifted:hsa_circ_0000044	TRUE
chr6:71390233-71406144:-	2.63167792787826	-35.3988077350255	4.92794525758435	-6.7774307524263	1.22331751799643e-11	7.0648124449407e-09	EI-circRNA	Rmnd5a	circAtlas:mmu-Rmnd5a_0001,circAtlas:mmu-Rmnd5a_0024	TRUE
chr6:71390234-71406144:+	2.63167792787826	-35.3988077350255	4.92794525758435	-6.7774307524263	1.22331751799643e-11	7.0648124449407e-09	EI-circRNA	Rmnd5a	circAtlas:mmu-Rmnd5a_0001,circAtlas:mmu-Rmnd5a_0024	TRUE
chr2:76656419-76656496:+	0.381077774050974	38.6325879906716	5.42183662658614	6.75649056097385	1.41374186154769e-11	7.73827316161034e-09	EI-circRNA	Ttn	.	FALSE
chr17:40158822-40158976:+	10.0485610113426	-31.7339834468502	4.44651544390899	-6.68703028740875	2.27744758558607e-11	1.2128947209182e-08	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chrX:143128607-143134372:+	2.99279755382022	-30.9314453024138	4.33271306716203	-6.67744317565996	2.43146838294891e-11	1.22851498682073e-08	EI-circRNA	Alg13	circAtlas:mmu-Alg13_0005,circBase:mm9_circ_013694	TRUE
chrX:143128608-143134372:-	2.99279755382022	-30.9314453024138	4.33271306716203	-6.67744317565996	2.43146838294891e-11	1.22851498682073e-08	EI-circRNA	Alg13	circAtlas:mmu-Alg13_0005,circBase:mm9_circ_013694	TRUE
chr6:88329427-88335624:-	2.12190258044399	-30.9464516698075	4.33998473175304	-6.66971278908515	2.56304514188153e-11	1.23182450050672e-08	EI-circRNA	Eefsec	circAtlas:mmu-Eefsec_0010	TRUE
chr6:88329428-88335624:+	2.12190258044399	-30.9464516698075	4.33998473175304	-6.66971278908515	2.56304514188153e-11	1.23182450050672e-08	EI-circRNA	Eefsec	circAtlas:mmu-Eefsec_0010	TRUE
chr17:40158818-40158975:+	9.83457749860369	-31.625702711323	4.45661279687823	-6.64758283063658	2.97945323453026e-11	1.39786014253378e-08	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr5:135085695-135089684:+	4.56652958165676	-31.2169110323318	4.42054797645546	-6.60934146353477	3.86033375482032e-11	1.72881537815305e-08	EI-circRNA	Bud23	circAtlas:mmu-Wbscr22_0002	TRUE
chr5:135085696-135089684:-	4.56652958165676	-31.2169110323318	4.42054797645546	-6.60934146353477	3.86033375482032e-11	1.72881537815305e-08	EI-circRNA	Bud23	circAtlas:mmu-Wbscr22_0002	TRUE
chr1:190741746-190747695:+	0.766012169145419	37.5901151847707	5.41855258889154	6.56819595287002	5.09284943358915e-11	2.18162169758422e-08	EI-circRNA	Flvcr1	circAtlas:mmu-Mfsd7b_0003,circBase_lifted:hsa_circ_0016414	TRUE
chr1:190741746-190747695:-	0.766012169145419	37.5901151847707	5.41855258889154	6.56819595287002	5.09284943358915e-11	2.18162169758422e-08	EI-circRNA	Flvcr1	circAtlas:mmu-Mfsd7b_0003,circBase_lifted:hsa_circ_0016414	TRUE
chr2:37530862-37537297:+	1.59891864224277	-31.2928876737145	4.47019530882617	-6.55293240004016	5.64180604158297e-11	2.31607891769568e-08	EI-circRNA	Strbp	circAtlas:mmu-Strbp_0063	TRUE
chr2:37530862-37537297:-	1.59891864224277	-31.2928876737145	4.47019530882617	-6.55293240004016	5.64180604158297e-11	2.31607891769568e-08	EI-circRNA	Strbp	circAtlas:mmu-Strbp_0063	TRUE
chr15:76982139-77017141:-	0.423283006072725	37.3109643000936	5.42130750288367	6.5133667996717	7.348477043734e-11	2.83924980679958e-08	EI-circRNA	Rbfox2	circAtlas:mmu-Rbfox2_0007	TRUE
chr15:76982140-77017141:+	0.423283006072725	37.3109643000936	5.42130750288367	6.5133667996717	7.348477043734e-11	2.83924980679958e-08	EI-circRNA	Rbfox2	circAtlas:mmu-Rbfox2_0007	TRUE
chr17:40158823-40158979:+	5.7271583111807	-31.8436270534867	4.5865497408246	-6.50677060969173	7.67835231777321e-11	2.90965254657156e-08	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr17:40158820-40158976:+	10.2510517012017	-32.3312236648827	4.68743405780742	-6.47075207689862	9.75163229428679e-11	3.62558328979097e-08	circRNA	Rn18s-rs5,Gm26917,AY036118	.	FALSE
chr7:132549772-132568423:+	2.17194117297512	-33.1299171437566	4.81557830069152	-6.46441926596569	1.01688569796856e-10	3.64322412335826e-08	EI-circRNA	Zranb1	circAtlas:mmu-ENSMUSG00000030849,ENSMUSG00000030967_0008,circAtlas:mmu-ENSMUSG00000030849,ENSMUSG00000030967_0016,circAtlas:mmu-Zranb1_0003,circBase:mm9_circ_005606,circBase_lifted:hsa_circ_0020335,circBase_lifted:hsa_circ_0008915	TRUE
