circ_id	gene_id	aging_24m_ESR1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_2	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_12m_CYP19A1_no_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_3	aging_18m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_CYP19A1_no_2	aging_24m_CYP19A1_12m_1	aging_24m_CYP19A1_6m_2	aging_12m_CYP19A1_1w_1	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_letrozole_2m_2	aging_24m_ESR1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_20m_CYP19A1_no_3	aging_12m_CYP19A1_1w_3	aging_30m_ESR1_18m_3	aging_24m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_12m_ESR1_no_2	aging_30m_CYP19A1_18m_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_6m_2	aging_18m_ESR1_no_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_1	aging_18m_CYP19A1_1w_3	aging_18m_ESR1_no_1	aging_18m_ESR1_1w_1	antiHormonal_18m_CYP19A1_no_1	aging_24m_ESR1_12m_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_ESR1_no_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_12m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_1w_3	antiHormonal_20m_ESR1_no_1	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_24m_ESR1_6m_1	antiHormonal_18m_ESR1_no_3	aging_18m_ESR1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_2	aging_24m_CYP19A1_12m_3	aging_18m_CYP19A1_no_1	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_30m_ESR1_18m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_12m_ESR1_1w_3	aging_24m_ESR1_12m_2	aging_12m_CYP19A1_no_1	aging_12m_ESR1_no_1	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_1	aging_12m_CYP19A1_1w_2	aging_12m_ESR1_1w_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_3	aging_18m_CYP19A1_1w_2
chr1:3451730-3451944:+																																																																	1								
chr1:3638591-3638734:+															1																																																										
chr1:3661899-3662173:+																																																			1				1																		
chr1:3729265-3729444:+																				2																																																					
chr1:4208595-4208708:+																																																																				1					
chr1:4896349-4896462:-																																													1																												
chr1:4969327-4969416:-											1																																																														
chr1:6339013-6339403:-																																								1																																	
chr1:7218590-7219329:-																																				2																																					
chr1:7238466-7238571:-						1																																																																			
chr1:7240028-7240125:-																														1																																											
chr1:9619696-9619865:-																																																																	1								
chr1:9646507-9646785:-								1																																																																	
chr1:9646507-9646877:-																																																																									1
chr1:9817414-9817637:+						1																																														1																					
chr1:10156153-10156231:-																																								1																																	
chr1:10254217-10259759:+																																				1																																					
chr1:10279306-10279386:+																																												1																													
chr1:11139333-11139411:-																																																									1																
chr1:11254584-11254702:-																																												1													1		1			1											
chr1:12066603-12066718:-																																																												1													
chr1:12878077-12892323:+																																																														1											
chr1:13225964-13226100:+				1																																																																					
chr1:13244654-13244756:+																																																								1																	
chr1:13438287-13438511:+					1																																																																				
chr1:13698783-13698935:+																																																																									1
chr1:15921200-15921276:-						1																				1																																															
chr1:16183957-16184036:-																																														1																											
chr1:16183959-16184038:-																																																																	1								
chr1:16336302-16336411:+																																			1																																						
chr1:16514067-16514149:+											1																		1											2																		2															
chr1:16583494-16583572:+																							1																																																		
chr1:16720627-16722077:+																																	1																																								
chr1:16745301-16745399:-																																1																																									
chr1:16775011-16775102:-																																																					2																				
chr1:17051881-17052282:+																																												1																													
chr1:17067687-17074758:-																																	1																																								
chr1:17098535-17098685:+																																																																									1
chr1:17200066-17200176:-																																																																				1					
chr1:17233053-17233226:-																																		2																																							
chr1:21767473-21767580:+																																								1	1						1																					1					
chr1:21784782-21784992:+																																																																				1					
chr1:21827413-21827540:+																																																											1														
chr1:21901574-21901667:+																																														1																											
chr1:22004607-22004706:+																																			1																																						
chr1:22018668-22018791:+																																																												2													
chr1:23147212-23147337:+																																																													1												
chr1:23226834-23227023:+																			1																																																						
chr1:23308067-23308213:-													1																																																												
chr1:23312610-23312754:-																		1																	1										1													1															
chr1:23317129-23317984:-						1																																																																			
chr1:23408400-23408484:+																																																					1																				
chr1:23874144-23874261:+																														1																																											
chr1:23885030-23885157:+													2																																							1	1																				
chr1:24059216-24059402:+																																																											1														
chr1:30843462-30843547:+																																					1																																				
chr1:30843463-30843547:+														1															1				1									1			1		1						1																		1		1
chr1:30903604-30903710:+																																			1																																						
chr1:33708207-33708410:+																																																	1																								
chr1:33838446-33838676:+		2																																																																							
chr1:34144001-34144150:-																																																											1		1										1		
chr1:34175336-34175508:-																																												1													1		1				1										
chr1:34219146-34219237:-																							1																																																		
chr1:34223127-34240494:-														1																																																											
