	logFC	logCPM	LR	PValue	DE	FDR	type	gene	databases	has_db
chr2:52171476-52196645:+	2.96013948201614	-3.82350300514164	17.6208705039244	2.69613238893187e-05	0	0.171312251992731	EI-circRNA	Neb,4930573O16Rik	.	TRUE
chr10:33342419-33344190:-	3.06035603095826	-4.04585880368163	15.3653222625308	8.85994917546454e-05	0	0.252278731849258	EI-circRNA	Trdn	circAtlas:mmu-Trdn_0022,circAtlas:mmu-Trdn_0089	FALSE
chr19:6447608-6447955:+	3.21924283377875	-4.22318325255212	14.806696772798	0.000119111771411359	0	0.252278731849258	EI-circRNA	Pygm	circAtlas:mmu-Pygm_0006	FALSE
chr10:33342419-33344190:+	2.53790729026197	-3.70451223671903	13.1587073068399	0.000286186250131745	0	0.3502402942952	EI-circRNA	Trdn	circAtlas:mmu-Trdn_0022,circAtlas:mmu-Trdn_0089	FALSE
chr10:33340554-33344190:+	2.82264137035284	-4.02926350173906	13.0913042119719	0.000296669728581442	0	0.3502402942952	EI-circRNA	Trdn	circAtlas:mmu-Trdn_0077	FALSE
chr3:89353587-89353718:-	2.4936409728401	-4.30323263811629	12.0754283431825	0.000510907239884319	0	0.3502402942952	circRNA	Pbxip1	.	TRUE
chr5:87817373-87821140:-	-6.87760041733821	-1.40830663756408	11.9963320310036	0.000533053622016021	0	0.3502402942952	EI-circRNA	Csn1s1	.	TRUE
chr5:87817373-87821140:+	-6.82920204915397	-1.45540933242651	11.9711127630216	0.000540316651966099	0	0.3502402942952	EI-circRNA	Csn1s1	.	TRUE
chr7:75345372-75354287:+	2.45869929883934	-4.30455397324862	11.9433283166546	0.00054843417245757	0	0.3502402942952	EI-circRNA	Akap13	circAtlas:mmu-Akap13_0008,circBase_lifted:hsa_circ_0036650	FALSE
chr5:87934478-87936422:-	-5.23003394258654	-2.72300871858929	11.9310959624243	0.000552046913083075	0	0.3502402942952	EI-circRNA	Csn1s2a	.	TRUE
