id	antiHormonal_20m_ESR1_letrozole_2m_1	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_CYP19A1_letrozole_2m_2	antiHormonal_18m_ESR1_no_3	antiHormonal_20m_ESR1_no_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_ESR1_no_3	aging_24m_CYP19A1_12m_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_30m_CYP19A1_18m_2	antiHormonal_20m_CYP19A1_no_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_12m_2	aging_24m_ESR1_6m_1	aging_12m_ESR1_no_2	aging_12m_CYP19A1_1w_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	antiHormonal_18m_ESR1_no_1	aging_24m_CYP19A1_12m_3	aging_30m_ESR1_18m_3	aging_18m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_no_3	aging_24m_ESR1_12m_3	aging_30m_ESR1_18m_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_ESR1_12m_1	aging_18m_ESR1_1w_2	antiHormonal_18m_CYP19A1_no_3	aging_24m_CYP19A1_no_2	aging_12m_ESR1_no_1	aging_12m_ESR1_1w_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	aging_18m_CYP19A1_1w_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_1	aging_18m_CYP19A1_no_3	aging_12m_CYP19A1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_18m_ESR1_no_1	aging_24m_CYP19A1_6m_2	aging_24m_ESR1_no_2	aging_24m_ESR1_6m_2	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_18m_ESR1_1w_1	aging_30m_CYP19A1_18m_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_24m_CYP19A1_no_3	aging_24m_CYP19A1_no_1	aging_12m_ESR1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_12m_2	aging_30m_ESR1_18m_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_ESR1_no_3	aging_24m_ESR1_no_3	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_1w_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_2	aging_12m_CYP19A1_1w_2
chr19:3528277-3542515:-	1											1																					1																							2	1								1							
chr19:3650672-3652444:-	1			1	2					1	1										1		1											1																				1								1				2				1		
chr19:3650672-3655494:-	1					1	2	1																													1															1																2			1	
chr19:3832219-3832852:+	1						1					1																					1			1																			1										2							
chr19:4370179-4371084:-	1																	1	1									1					1		1												1						2		1							1				2		2				
chr19:4837388-4844037:-	1	2	1			1		1						2				4		1		1	1			2		1	1				1				1	1		1		1			1	1							2	2	1	2	1												1			
chr19:4842425-4844037:-	7	10	7	18	6	5	20	8	4	6	10	9		16	1		1	7	3	6	10	16	8	2	12	3	6	8	7		7		7	13	8	5	3	23	1	7	1	6	3	6	6	5	17				5	11	3	15	23	6	16	19		1	10	5		1	19	9		10	16	4	20	3
chr19:11900750-11902590:+	1			2							1													1																							1				1																	1				
chr19:25028850-25042823:+	1																	1			1					2																												1																		
chr19:25038471-25042823:+	3											2																			1		1			1				1									1		2		1	2				1							2							
chr19:28331605-28335352:-	1																			1															1																							1														
chr19:29239582-29239833:+	1									1		1																																																					1							
chr19:29338327-29339196:-	1						1																																														1																			
chr19:29575146-29581632:+	1																																																																							
chr19:29712515-29732417:-	1														1														1					1																					1						1										1	
chr19:29730999-29763849:-	1		2		2		2											2	1		1			1	2				2				1	1		1		1	1	1				1			2		1		1			2		1	1	2				1			1			2	1			
chr19:30016463-30016697:+	1										1	1							2		1	2		1		1	1						2	2						1												1														1		1				
chr19:30016463-30033894:+	1			1																									1																																											
chr19:30048642-30057343:+	1																																																																			1	1			
chr19:30758694-30764371:-	3											1																						1		1										1						1		1				2														
chr19:31991601-31999779:-	1																			2																																																				
chr19:32769948-32777499:+	2							1		2													1					1			1				1	1															1			1		1						1										
chr19:34818156-34818509:-	1													1						1														2				2	1								2				1	1	1		1							1										
chr19:36933770-36939899:+	1	1	1																																																					1													1	1		
chr19:36933770-36950418:+	1	2						2													1																	1									2								1							2			1			1				
chr19:36939038-36947438:+	2	1																					2			1																																														
chr19:36950297-36958126:+	1																																																																							
chr19:37261519-37265607:-	1																																																																							
chr19:37261519-37268213:-	2																																													1																										
chr19:37302546-37308011:-	2			1										1						1			2		1	1					2	1		1	1							3	1	2	3										1		2	1		2								2	1			
chr19:38512358-38513896:+	1	5		1	3	2	1	2		2	5	2		1				3		2	5		1				1		2		4		1	1	2		1	2		3						2								1		1	2			1		1			3	4		2	2	2	2	1
chr19:40325429-40332883:-	1																																	1							1																								1				1		3	
chr19:41516459-41544140:+	1																	1		1								1																																												
chr19:41927275-41927916:+	1											1						1	1		1	2																	1												1							1			1							5	1			
chr19:42550990-42552780:+	1	4	2		1		2	2			2	3		1	1		1	3	1	1	1	2	2		2	1		3	3		1		5	2	1	2	4	5		4		1			1	3	2					1	1	1	3	1	1	1			2	2			5	3			2		7	
chr19:42550990-42564640:+	1		2	4			1	4		1											1	2	1			1			2		1		3		1	1		1	1	2		1		1	1	1	2				2		2	2	2			1				1						1		1		2
chr19:42550990-42571982:+	1		1				3														1			2	1	1					1				2																			1		1		1							2				2			1
chr19:43748288-43751445:+	1																																																																							
chr19:43889508-43899286:-	2	3				1		1		1											1					1					2							2				1			1		3						1		3	1	1														1	
chr19:45619303-45628960:-	1	1		1	4	3		2	1	1		1		2			1	3		1	3		1	1	1	3	2		2				4	1			4	1		1		5	1		5	1	1				1		1		1	2	1				1	3		1				1	2	1	1	
chr19:45746343-45756446:-	1		1						1									2							1																					1																1				1		1				
chr19:45749542-45765456:-	1																																																																							
chr19:45954680-45967151:-	1																																																																							
chr19:56368637-56368745:-	2	2	1	2			1			1					1		2						2				1	3	1			4						1		1							2		1									1								2		1				
chr19:57617516-57645670:+	2	1		1	1		1	3		1	1	3		1	1		1	3			2		2	1					1		1		1	2									1			1	4							2		1		1			3				1			1	1			1
chr19:57719983-57766377:+	1																																																																							
chr19:57740061-57744050:+	1					1	1	1				1		2								1		1		1	2	3	1							1		1											1		1				4	1	1				1	2		1	3	4					1	
chr19:57740061-57766377:+	1			1	2			1																	1				1				1	1								2			2							1		1			1	1				1			3			1				
chr19:58809431-58816770:-	1																																																																							
chr19:59293589-59303792:-	1																											1							1																																					
chr19:59895367-59925862:-	1										1										1																																																1			
chr19:60752469-60752671:-	1				2							2								1			1	1		1	1	1	1		1		3	1	2			1		1		2			2	1					1	4			1		1	1								6			1	2		1
chr12:3492473-3524613:+	1			1			1					1		1								1						2								1		1	1			1			1		1				1			1														2				
chr12:3501661-3507209:+	1																																	2	1																																					
chr12:3667605-3768489:+	1																									1																																														
chr12:4680636-4683562:+	1		1							1												1															1																																			
chr12:8277219-8288615:+	1		1									1															1						1	1		2				1							1						1					1			1	1										
chr12:8778855-8779149:+	1									1											1		1																																																	
chr12:11323994-11326366:+	1																																																																							
chr12:13532386-13534045:+	2	2	1	2	1		1	1		1	1				2			2		4	1			4											2	2				1			1				1				1	1	1				2								1	4		4	2		1	
chr12:16594644-16596808:-	2																			1																																1																				
chr12:24594269-24606740:+	1																																																																							
chr12:24928189-24932793:+	1	3		1	4		2			1		1		1				1				1	1			1		1	2				2	2			1	2		4		1	1	1	1		2				1	3					3	1			2	1						1		1	4	2
chr12:31674113-31680892:-	1										3														1							1		1							1																	1														
chr12:35128898-35136983:+	1											1								1																		1																		1										2						
chr12:41675546-41675612:+	1																																																																							
chr12:51666596-51708496:-	3	1		1	1			3		2	1	2		2	3		1	2				2			1		2	2			1			2	2			1		2		1			1	1					1			2	1	3		2								1					1	
chr12:51674487-51708007:-	1																																																																							
chr12:51694776-51708496:-	7	3	3	1	3	4	2	6		5	9	3		5	1			7		5	8		6	4	7	4	4	2	3		3		4	3		6	2	7		3	3	2	1	2	2	4	1		1		6	2		5	7	4	3	5		1	4	2		2	5	9		4	6	2	9	1
chr12:51763724-51769831:+	1																						1																														1													1						
chr12:51806001-51807953:-	1		1	3	1	3				1	1	1						2	2	1	1	2		2	3	2		1			2		3		1	1		1		2		1	2		1	1					1		1	1	1	3	2	3			2	3			2	3			1	1		1
